Brand,Model,Type,State,City,Gender,Size,Color,Material,Price (USD),Units Sold,Total Sales
Asics,Gel-Quantum 180,Running,New York,New York,Women,9,Grey,Mesh/Synthetic,120,850,425000
Fila,Mindblower,Fashion,New York,New York,Men,8.5,White,Leather/Synthetic,75,875,525000
Skechers,D'Lites,Walking,New York,New York,Women,7,Black,Synthetic,65,1000,650000
Nike,Air Max 2090,Running,New York,New York,Men,9,Grey,Mesh,150,1250,750000
Adidas,Adizero Adios 5,Running,New York,New York,Women,7.5,Blue,Mesh,170,1000,550000
Reebok,Nano 9,Cross-training,New York,New York,Men,10,Black,Mesh/Synthetic,130,925,462500
Converse,Chuck 70,Casual,New York,New York,Women,9,Pink,Canvas,85,900,450000
Puma,Future Rider Play,Lifestyle,New York,New York,Men,9,Black/Red,Synthetic,90,900,540000
Vans,Slip-On,Skate,New York,New York,Women,7,Checkered,Canvas,50,1050,682500
New Balance,574,Casual,New York,New York,Men,9,Black/Grey,Suede/Textile,80,1275,765000
Asics,Gel-Kayano 27,Running,New York,New York,Women,8.5,Purple,Mesh/Synthetic,160,1025,563750
Fila,Venom,Fashion,New York,New York,Men,9.5,White/Red,Leather/Synthetic,65,950,475000
Skechers,Go Walk 5,Walking,New York,New York,Women,7.5,Black,Mesh,60,900,450000
Nike,Air Force 1,Casual,New York,New York,Men,11,White,Leather,90,925,555000
Adidas,NMD_R1,Running,New York,New York,Women,9,Black,Knit,140,1100,715000
Reebok,Zig Kinetica II,Running,New York,New York,Men,9.5,White,Mesh,120,1250,750000
Converse,Jack Purcell,Casual,New York,New York,Men,10,White,Canvas,65,1025,563750
Puma,Suede Classic,Casual,New York,New York,Women,8.5,Beige,Suede,65,950,475000
Vans,Sk8-Hi,Skate,New York,New York,Men,8,Black/White,Suede/Canvas,70,925,462500
New Balance,327,Casual,New York,New York,Women,7.5,Orange,Suede/Mesh,100,900,540000
Asics,Gel-Kayano 28,Running,New York,New York,Women,7,White,Mesh,160,1075,698750
Fila,Original Fitness,Casual,New York,New York,Men,11,White/Navy,Leather,70,1200,720000
Skechers,Go Walk 5,Walking,New York,New York,Women,8,Black,Mesh,60,1000,550000
Nike,Free RN 5.0,Running,New York,New York,Men,10,Grey,Mesh,100,925,462500
Adidas,Adilette Cloudfoam,Slides,New York,New York,Women,6,Black,Synthetic,35,900,450000
Reebok,Nano 9,Crossfit,New York,New York,Men,10.5,Black,Mesh,130,900,540000
Converse,Chuck 70,Casual,New York,New York,Women,7.5,Pink,Canvas,85,1000,650000
Puma,Clyde All Pro,Basketball,New York,New York,Men,9.5,Black/Red,Leather,130,875,568750
Vans,Era,Skate,New York,New York,Women,6.5,White,Canvas,55,1000,700000
New Balance,Fresh Foam More v2,Running,New York,New York,Men,12,Black/Grey,Mesh,165,1150,747500
Asics,GT-2000 10,Running,New York,New York,Women,7,Blue,Mesh,120,975,536250
Fila,Mindblower,Casual,New York,New York,Men,9.5,White/Blue,Leather/Synthetic,75,920,506000
Skechers,Dynamight 2.0,Training,New York,New York,Women,9,Black,Mesh,50,900,495000
Nike,Air Force 1,Basketball,New York,New York,Men,11,White,Leather,90,875,568750
Adidas,NMD_R1,Lifestyle,New York,New York,Women,7,Pink,Primeknit,130,975,682500
Reebok,Nano X1,Training,New York,New York,Men,9,Black,Knit,130,1200,780000
Converse,Chuck 70,Casual,New York,New York,Women,8.5,Yellow,Canvas,85,1000,550000
Puma,Clyde All-Pro,Basketball,New York,New York,Men,10,Red,Leather,130,950,522500
Vans,Sk8-Hi,Skate,New York,New York,Women,7,Black,Suede,70,900,495000
New Balance,Fresh Foam 1080v11,Running,New York,New York,Women,8,Green,Mesh,150,900,585000
Asics,Gel-Quantum 360,Running,New York,New York,Men,11,Blue,Mesh,170,1000,700000
Fila,D-Formation,Casual,New York,New York,Women,8.5,White,Leather,65,900,225000
Skechers,Max Cushioning,Running,New York,New York,Men,8.5,Black,Mesh,90,900,315000
Nike,Air Max 90,Lifestyle,New York,New York,Women,6,Grey,Leather,120,700,245000
Adidas,Yeezy Boost 350,Lifestyle,New York,New York,Men,10,Black,Primeknit,220,700,245000
Reebok,Classic Nylon,Casual,Texas,Houston,Women,7.5,Pink,Nylon,65,550,220000
Converse,Jack Purcell,Casual,Texas,Houston,Men,9,White,Canvas,65,700,245000
Puma,Calibrate Runner,Running,Texas,Houston,Women,9,Grey,Mesh,120,850,212500
Vans,Era,Skate,Texas,Houston,Men,9.5,Red,Canvas,50,850,297500
New Balance,FuelCell Echo,Running,Texas,Houston,Women,7,Pink,Mesh,100,675,236250
Asics,GT-2000 9,Running,Texas,Houston,Men,10.5,Black,Mesh,120,625,218750
Fila,Original Fitness,Casual,Texas,Houston,Women,7,White,Leather,60,500,200000
Skechers,Elite Flex,Walking,Texas,Houston,Men,10,Navy,Mesh,65,700,245000
Nike,Blazer Low,Lifestyle,Texas,Houston,Women,7.5,White,Leather,85,875,262500
Nike,Air Force 1,Basketball,Texas,Houston,Men,10,White,Leather,90,875,350000
Adidas,NMD_R1,Lifestyle,Texas,Houston,Men,8.5,Black,Primeknit,140,700,245000
Reebok,Nano X1,Training,Texas,Houston,Women,7.5,Grey,Flexweave,130,600,240000
Converse,Jack Purcell,Casual,Texas,Houston,Men,9,White,Canvas,65,500,225000
Puma,Clyde All-Pro,Basketball,Texas,Houston,Men,11,Red/White,Leather,120,650,260000
Vans,SK8-Hi,Skate,Texas,Houston,Women,6,Black,Suede/Canvas,70,900,270000
New Balance,574,Casual,Texas,Houston,Men,10,Navy,Suede/Mesh,80,900,360000
Asics,Gel-Lyte III NS,Casual,Texas,Houston,Women,8,Pink,Mesh,100,725,253750
Fila,Mindblower,Fashion,Texas,Houston,Men,9.5,White,Leather/Synthetic,75,625,250000
Skechers,Max Cushioning,Running,Texas,Houston,Women,7,Black,Mesh,75,525,236250
Nike,React Infinity Run Flyknit 2,Running,Texas,Houston,Men,9.5,Blue,Flyknit,160,800,320000
Adidas,Harden Stepback,Basketball,Texas,Houston,Men,12,Grey,Synthetic,80,925,277500
Reebok,Classic Nylon,Casual,Texas,Houston,Women,7.5,Black,Nylon,65,925,370000
Converse,Chuck 70,Casual,Texas,Houston,Men,8,Yellow,Canvas,85,775,271250
Puma,Calibrate Runner,Running,Texas,Houston,Men,10.5,Black/Yellow,Mesh,80,700,280000
Vans,Era,Skate,Texas,Houston,Women,7,Green,Canvas,55,600,270000
New Balance,FuelCell Propel V3,Running,Texas,Houston,Women,6.5,Purple,Mesh,100,950,380000
Asics,Gel-Kayano 28 Lite-Show,Running,Texas,Houston,Men,11,Black,Mesh,170,950,380000
Fila,Trailblazer,Fashion,Texas,Houston,Women,8,White/Pink,Leather,65,950,427500
Skechers,Summits - Quick Getaway,Walking,Texas,Houston,Men,9,Grey,Mesh,60,800,320000
Nike,Air Zoom Tempo NEXT% FlyEase,Running,Texas,Houston,Women,8.5,White,Mesh,200,750,300000
Nike,React Infinity Run 2,Running,Texas,Houston,Women,7.5,Grey,Mesh,160,650,292500
Adidas,Superstar,Casual,Texas,Houston,Men,8.5,Black/White,Leather,80,1000,500000
Reebok,Zig Kinetica Horizon,Running,Texas,Houston,Women,6.5,Blue,Mesh,120,950,380000
Converse,Chuck 70,Casual,Texas,Houston,Men,9,White,Canvas,85,950,427500
Puma,Cali Sport,Lifestyle,Texas,Houston,Women,9.5,White,Leather,90,1100,440000
Vans,Sk8-Hi,Skate,Texas,Houston,Men,10,Black/White,Suede/Canvas,70,700,280000
New Balance,990v5,Running,Texas,Houston,Men,9.5,Grey,Suede/Mesh,175,700,315000
Asics,Gel-Venture 8,Trail,Texas,Houston,Women,8.5,Blue,Mesh,70,975,487500
Fila,Mindblower,Fashion,Texas,Houston,Men,11,White,Synthetic,75,925,370000
Skechers,Go Run Mojo,Running,Texas,Houston,Women,7,Black,Mesh,60,925,416250
Nike,Air Zoom Pegasus 38,Running,Texas,Houston,Men,11,Black,Mesh,120,1100,440000
Adidas,Ultraboost 5.0 DNA,Running,Texas,Houston,Women,8.5,Grey,Primeknit,180,650,260000
Reebok,Classic Leather Legacy,Casual,Texas,Houston,Men,9.5,White,Leather,80,650,292500
Converse,Jack Purcell,Casual,Texas,Houston,Women,6,Navy,Canvas,65,900,450000
Puma,RS-Fast Tech,Lifestyle,Texas,Houston,Men,9.5,Black/Red,Synthetic,110,850,382500
Vans,Era,Skate,Texas,Houston,Women,7.5,Black/White,Canvas,50,850,382500
New Balance,Fresh Foam Roav,Running,Texas,Houston,Men,10,Red,Mesh,80,900,450000
Asics,GT-2000 10,Running,Texas,Houston,Women,9,Black,Mesh,120,625,312500
Fila,Original Fitness,Fashion,Texas,Houston,Men,10,White,Leather,60,625,281250
Skechers,Max Cushioning Elite,Walking,Texas,Houston,Women,8,Navy,Mesh,80,850,467500
Nike,Air Force 1 '07,Basketball,Texas,Houston,Men,11,White,Leather,90,800,360000
Adidas,NMD_R1,Running,Texas,Houston,Women,8,Pink,Primeknit,140,800,360000
Reebok,Nano 9,Training,Texas,Houston,Men,9.5,Black/White,Mesh,130,750,375000
Converse,Jack Purcell,Casual,Texas,Houston,Women,7.5,White,Canvas,65,600,300000
Puma,Calibrate Runner,Running,Texas,Houston,Men,10,Black/Grey,Mesh/Synthetic,90,575,258750
Vans,Sk8-Hi,Skate,Texas,Houston,Women,9,Black/White,Canvas,65,750,412500
New Balance,FuelCell Rebel v2,Running,Texas,Houston,Men,9.5,Blue/White,Mesh,130,900,405000
Asics,Gel-Kinsei OG,Running,Texas,Houston,Women,7.5,White/Grey,Mesh/Leather,180,900,405000
Fila,Spaghetti,Fashion,Texas,Houston,Men,8,White/Navy,Leather/Synthetic,65,825,412500
Skechers,Go Walk 5,Walking,Texas,Houston,Women,6.5,Black,Mesh,60,675,337500
Nike,ZoomX Invincible Run,Running,Texas,Houston,Men,11,Black,Mesh/Synthetic,180,650,292500
Adidas,Ultraboost DNA,Running,Texas,Houston,Women,8,Grey,Primeknit,180,850,467500
Reebok,Classic Nylon,Casual,Texas,Houston,Men,10.5,Black,Nylon,60,950,427500
Converse,Run Star Hike,Casual,Texas,Houston,Women,8,Cream,Canvas,110,950,427500
Puma,Suede Classic+,Casual,Texas,Houston,Men,8,Red/White,Suede,65,850,425000
Vans,Era,Skate,Texas,Houston,Women,7.5,Green,Canvas,50,700,350000
New Balance,Fresh Foam More v3,Running,Texas,Houston,Men,11,Black/Grey,Mesh/Synthetic,165,650,292500
Asics,Gel-Quantum 90 3,Running,Texas,Houston,Women,9,Pink,Mesh/Synthetic,90,900,495000
Fila,Original Fitness,Casual,Texas,Houston,Men,9.5,White/Navy/Red,Leather,60,775,310000
Skechers,Go Run Mojo Pep,Running,Texas,Houston,Women,8.5,Black/White,Mesh,55,775,387500
Nike,Air Force 1,Casual,Texas,Houston,Men,11,White,Leather,90,775,387500
Adidas,NMD_R1,Running,Texas,Houston,Women,8.5,Pink,Primeknit,130,625,312500
Reebok,Zig Kinetica II,Running,California,San Francisco,Men,9,Blue,Mesh,120,575,316250
Converse,Chuck 70,Casual,California,San Francisco,Women,7,Black,Canvas,85,775,387500
Puma,Clyde All-Pro,Basketball,California,San Francisco,Men,10,White,Leather,130,825,330000
Vans,Sk8-Hi,Skate,California,San Francisco,Women,9,Black/White,Suede/Canvas,65,725,362500
New Balance,574 Classic,Casual,California,San Francisco,Men,10.5,Grey,Suede/Mesh,80,725,362500
Asics,Gel-Quantum 90 3,Running,California,San Francisco,Women,7.5,Black,Mesh,70,575,287500
Fila,Mindblower,Fashion,California,San Francisco,Men,11,Grey,Leather/Synthetic,75,500,275000
Skechers,Max Cushioning Premier,Running,California,San Francisco,Women,7.5,Pink,Mesh,90,700,350000
Nike,Blazer Mid '77,Casual,California,San Francisco,Men,9.5,White,Leather,100,850,425000
Adidas,Superstar,Casual,California,San Francisco,Women,7.5,Black/White,Leather,85,700,420000
Reebok,DMX Thrill,Running,California,San Francisco,Men,10,Black,Mesh,70,700,420000
Converse,Jack Purcell,Casual,California,San Francisco,Women,8.5,White,Canvas,65,600,360000
Puma,Calibrate Runner,Running,California,San Francisco,Men,9.5,Black/Yellow,Mesh,140,500,325000
Vans,Slip-On,Skate,California,San Francisco,Women,6.5,Checkered,Canvas,50,700,420000
New Balance,Fresh Foam Beacon V3,Running,California,San Francisco,Men,11,Blue,Mesh,120,875,525000
Asics,Gel-Venture 8,Trail,California,San Francisco,Women,9.5,Grey,Mesh,70,675,438750
Fila,F-13,Fashion,California,San Francisco,Men,10,White,Leather,70,725,471250
Skechers,Equalizer 4.0,Training,California,San Francisco,Women,8.5,Black,Mesh,65,625,375000
Nike,KD13,Basketball,California,San Francisco,Men,11,Blue,Mesh,150,525,341250
Nike,React Infinity Run Flyknit 2,Running,California,San Francisco,Women,9.5,Black/White,Flyknit,160,700,560000
Adidas,NMD_R1,Lifestyle,California,San Francisco,Men,11.5,Grey,Primeknit,140,900,540000
Reebok,Aztrek 96,Casual,California,San Francisco,Women,8.5,Yellow/Black,Leather/Synthetic,90,750,487500
Converse,Jack Purcell,Casual,California,San Francisco,Men,9,Navy/White,Canvas,70,750,487500
Puma,Calibrate Runner,Running,California,San Francisco,Men,10,Black,Mesh,100,650,390000
Vans,Sk8-Hi,Skate,California,San Francisco,Women,7.5,Black/White,Suede/Canvas,65,550,357500
New Balance,327,Casual,California,San Francisco,Men,10,Green,Suede/Leather,90,725,580000
Asics,GT-2000 10,Running,California,San Francisco,Women,8,Blue,Mesh,120,975,585000
Fila,Trailblazer,Fashion,California,San Francisco,Men,9,White/Grey,Leather,85,825,536250
Skechers,Max Cushioning Premier,Running,California,San Francisco,Women,7,Grey/Pink,Mesh,105,825,536250
Nike,Blazer Mid '77,Casual,California,San Francisco,Men,8.5,Green,Leather,100,700,420000
Adidas,Ultraboost 6.0,Running,California,San Francisco,Women,7.5,Black/White,Primeknit,180,575,373750
Reebok,Classic Nylon,Casual,California,San Francisco,Men,11.5,Blue/White,Nylon,60,875,700000
Converse,Pro Leather,Casual,California,San Francisco,Women,9.5,White/Green,Leather,75,1025,615000
Puma,Clyde All-Pro,Basketball,California,San Francisco,Men,9.5,Black,Leather/Synthetic,130,875,568750
Vans,Era 95 DX,Skate,California,San Francisco,Women,6.5,Black/White,Canvas,65,825,536250
New Balance,Fresh Foam More v3,Running,California,San Francisco,Men,10,Black/Grey,Mesh,165,725,435000
Asics,Gel-Quantum 360 6,Running,California,San Francisco,Women,9,Grey/Green,Mesh,180,775,503750
Fila,Spaghetti,Basketball,California,San Francisco,Men,10.5,White,Leather,75,775,620000
Skechers,Uno Bold Move,Casual,California,San Francisco,Women,8.5,Black/White,Synthetic,70,975,633750
Nike,Air Force 1,Basketball,California,San Francisco,Men,10,White,Leather,100,925,647500
Adidas,NMD_R1,Lifestyle,California,San Francisco,Women,8,Grey,Primeknit,140,800,520000
Reebok,Nano X1,Training,California,San Francisco,Men,9.5,Black,Knit,130,750,487500
Converse,Jack Purcell,Casual,California,San Francisco,Women,6.5,Navy,Canvas,65,750,562500
Puma,Calibrate Runner,Running,California,San Francisco,Men,11,Black,Mesh,80,725,580000
Vans,Sk8-Hi,Skate,California,San Francisco,Women,7.5,Black/White,Canvas/Suede,70,925,508750
New Balance,327,Lifestyle,California,San Francisco,Men,10,Beige,Suede/Mesh,100,925,555000
Asics,Gel-Excite 8,Running,California,San Francisco,Women,9,Pink,Mesh,75,775,426250
Fila,Memory Fresh 2,Walking,California,San Francisco,Men,10,White,Synthetic,60,725,398750
Skechers,Energy Burst,Running,California,San Francisco,Women,8,Black,Mesh,70,725,471250
Nike,Flyknit Trainer,Running,California,San Francisco,Men,10,Black/White,Flyknit,150,775,542500
Adidas,Ultraboost 4.0,Running,California,San Francisco,Women,7,Blue,Primeknit,180,875,481250
Reebok,Floatride Energy,Running,California,San Francisco,Men,10.5,Grey,Mesh,100,875,525000
Converse,Chuck 70 High,Casual,California,San Francisco,Women,9,Pink,Canvas,85,700,385000
Puma,Clyde All-Pro,Basketball,California,San Francisco,Men,9,White,Leather,130,675,371250
Vans,Era,Skate,California,San Francisco,Women,8.5,Black,Canvas,50,650,422500
New Balance,Fresh Foam Beacon v3,Running,California,San Francisco,Men,12,Blue,Mesh,120,700,490000
Asics,Gel-Kayano 27,Running,California,San Francisco,Women,8.5,Black,Mesh,160,875,481250
Fila,Trailblazer,Fashion,California,San Francisco,Men,11,Black,Leather,75,875,525000
Skechers,Equalizer 4.0,Walking,California,San Francisco,Women,7,Grey,Mesh,60,725,398750
Nike,Blazer Mid '77,Casual,California,San Francisco,Men,9.5,White/Red/Navy,Leather,100,700,385000
Adidas,Superstar,Casual,California,San Francisco,Women,7.5,White/Black,Leather,80,650,422500
Reebok,Zig Kinetica,Running,California,San Francisco,Men,11.5,White/Black,Mesh,120,775,542500
Converse,Jack Purcell,Casual,California,San Francisco,Men,8.5,White/Navy,Canvas,70,975,536250
Puma,Suede Classic,Casual,California,San Francisco,Women,8.5,Pink,Suede,65,975,585000
Vans,Sk8-Hi,Skate,California,San Francisco,Men,10,Black/White,Canvas,70,775,426250
New Balance,Fresh Foam More,Running,California,San Francisco,Women,9,Grey/Purple,Mesh,165,775,426250
Asics,Gel-Kayano 27,Running,California,San Francisco,Men,10.5,Black/Green,Mesh,160,700,455000
Fila,Trailblazer,Fashion,California,San Francisco,Women,7,Cream,Synthetic,75,800,560000
Skechers,D'Lites Fresh Start,Walking,California,San Francisco,Men,9.5,White/Black,Leather,70,700,245000
Nike,Air Force 1,Casual,California,San Francisco,Women,8.5,White/Red,Leather,90,700,315000
Adidas,NMD_R1,Casual,California,San Francisco,Men,9,Black/White,Primeknit,130,700,315000
Reebok,Club C 85 MU,Casual,California,San Francisco,Men,11,White/Black,Leather,75,550,247500
Converse,Chuck 70,Casual,California,Los Angeles,Women,8.5,Cream,Canvas,85,500,250000
Puma,Calibrate Runner,Running,California,Los Angeles,Men,8.5,Black/Blue,Mesh,120,700,315000
Vans,Era,Skate,California,Los Angeles,Women,7,Pink/White,Canvas,50,750,262500
New Balance,FuelCell Propel v2,Running,California,Los Angeles,Men,9,Blue/Green,Mesh,100,650,292500
Asics,Gel-Cumulus 23,Running,California,Los Angeles,Women,8.5,Pink/White,Mesh,120,675,303750
Fila,Mindblower,Fashion,California,Los Angeles,Men,10,White/Black,Synthetic,75,525,236250
Nike,Air Force 1,Casual,California,Los Angeles,Men,11,White,Leather,90,450,225000
Adidas,NMD_R1,Lifestyle,California,Los Angeles,Women,8,Pink,Primeknit,140,650,292500
Reebok,Nano X1,Training,California,Los Angeles,Men,9.5,Grey,Knit,130,800,280000
Converse,All Star Hi,Casual,California,Los Angeles,Women,7,Black,Canvas,60,650,292500
Puma,Calibrate Runner,Running,California,Los Angeles,Men,10.5,Blue,Mesh,90,650,292500
Vans,Sk8-Hi,Skate,California,Los Angeles,Women,6,Red/White,Canvas,70,550,247500
New Balance,327,Lifestyle,California,Los Angeles,Men,8.5,Green,Suede/Mesh,100,425,212500
Asics,Gel-Quantum 180,Running,California,Los Angeles,Women,7.5,Grey,Mesh,120,625,281250
Fila,Mindblower,Fashion,California,Los Angeles,Men,9,White,Leather,70,800,360000
Skechers,Max Cushioning,Walking,California,Los Angeles,Women,9,Black,Mesh,75,600,300000
Nike,React Infinity Run Flyknit,Running,California,Los Angeles,Men,12,Black,Flyknit,160,625,312500
Adidas,Adilette Comfort,Slides,California,Los Angeles,Women,6,Black,Synthetic,35,525,236250
Reebok,Classic Nylon,Casual,California,Los Angeles,Men,10,Grey,Nylon,65,425,212500
Converse,Chuck 70,Casual,California,Los Angeles,Women,8,Cream,Canvas,85,600,390000
Puma,RS-X3 Puzzle,Lifestyle,California,Los Angeles,Men,8.5,Black/Yellow,Synthetic,110,800,360000
Vans,Era,Skate,California,Los Angeles,Women,7,Pink,Canvas,55,650,325000
New Balance,990v4,Running,California,Los Angeles,Men,9.5,Grey,Suede/Mesh,175,650,325000
Asics,GT-2000 10,Running,California,Los Angeles,Women,9,Blue,Mesh,120,550,247500
Fila,D-Formation,Fashion,California,Los Angeles,Men,11,White,Leather,65,450,225000
Skechers,Equalizer 4.0,Training,California,Los Angeles,Women,8.5,Black,Knit,70,625,406250
Nike,Air Zoom Pegasus 38,Running,California,Los Angeles,Men,10.5,Blue,Mesh,120,900,405000
Nike,Air Force 1 '07,Basketball,California,Los Angeles,Men,11,White,Leather,90,750,375000
Adidas,Yeezy Boost 350 V2,Fashion,California,Los Angeles,Men,9,Zebra,Primeknit,220,750,375000
Reebok,Nano X1 Adventure,Training,California,Los Angeles,Men,10,Khaki,Textile/Leather,130,625,281250
Converse,Jack Purcell Low,Casual,California,Los Angeles,Women,7.5,Pink,Canvas,65,500,250000
Puma,Clyde All-Pro,Basketball,California,Los Angeles,Men,10.5,Black/White,Leather/Suede,130,800,520000
Vans,Sk8-Hi,Skate,California,Los Angeles,Women,9,Checkerboard,Canvas,70,950,427500
New Balance,Fresh Foam Hierro v6,Trail,California,Los Angeles,Men,9.5,Grey/Yellow,Synthetic/Mesh,135,800,400000
Asics,Gel-Quantum 180 5,Running,California,Los Angeles,Women,8,Pink,Mesh,120,750,375000
Fila,D-Formation,Fashion,California,Los Angeles,Men,11,Black,Leather,65,650,292500
Skechers,Arch Fit Refine,Walking,California,Los Angeles,Women,6.5,Navy,Mesh,65,700,350000
Nike,Air Zoom Pegasus 38,Running,California,Los Angeles,Men,12,Blue,Mesh,120,700,455000
Adidas,NMD_R1,Casual,California,Los Angeles,Women,8.5,Pink,Primeknit,130,900,450000
Reebok,Floatride Energy 3,Running,California,Los Angeles,Men,9,Black,Mesh,100,850,467500
Converse,Chuck 70 High,Casual,California,Los Angeles,Men,12,Green,Canvas,85,725,362500
Puma,Calibrate Runner,Running,California,Los Angeles,Women,9,White,Mesh,90,675,337500
Vans,Era,Skate,California,Los Angeles,Men,8.5,Black,Canvas,50,675,405000
New Balance,FuelCell Rebel v2,Running,California,Los Angeles,Women,7.5,Orange,Mesh,130,650,422500
Asics,Gel-Cumulus 23,Running,California,Los Angeles,Men,11,Grey,Mesh,120,850,425000
Fila,Mindblower,Fashion,California,Los Angeles,Women,7,White,Leather/Synthetic,65,850,467500
Skechers,GOrun Mojo 2.0,Running,California,Los Angeles,Men,8,Black,Mesh,60,700,350000
Nike,Air Force 1,Basketball,California,Los Angeles,Men,11,White,Leather,90,650,325000
Adidas,NMD_R1,Running,California,Los Angeles,Women,8.5,Pink,Knit,140,650,390000
Reebok,ZigWild Trail 7,Trail,California,Los Angeles,Men,9.5,Black,Mesh/Synthetic,110,700,455000
Converse,Jack Purcell,Casual,California,Los Angeles,Women,7,Blue,Canvas,65,800,400000
Puma,Calibrate Runner,Running,California,Los Angeles,Men,10,Grey,Mesh,90,800,440000
Vans,SK8-Hi,Skate,California,Los Angeles,Women,6.5,Black/White,Canvas/Leather,70,650,325000
New Balance,FuelCell Rebel v2,Running,California,Los Angeles,Women,7,White/Pink,Mesh,110,625,312500
Asics,Gel-Kahana 8,Running,California,Los Angeles,Men,8,Grey,Mesh,85,600,360000
Fila,Mindblower,Fashion,California,Los Angeles,Women,7.5,White/Pink,Leather/Synthetic,65,650,422500
Skechers,Max Cushioning,Running,California,Los Angeles,Men,11,Black,Mesh,85,825,412500
Nike,Air Max 2090,Running,California,Los Angeles,Men,12,Black,Mesh/Synthetic,150,825,453750
Adidas,Superstar,Casual,California,Los Angeles,Women,9.5,White/Black,Leather,85,675,337500
Reebok,Nano 9,Training,California,Los Angeles,Men,10,Blue,Synthetic,130,650,325000
Converse,Pro Leather,Casual,California,Los Angeles,Men,9.5,White/Green,Leather,80,600,360000
Puma,RS-X?,Lifestyle,California,Los Angeles,Women,8.5,Pink,Mesh,110,700,455000
Vans,Slip-On,Casual,California,Los Angeles,Men,10.5,Black/White,Canvas,50,900,450000
New Balance,Fresh Foam More v3,Running,California,Los Angeles,Men,12,Black/Grey,Mesh,165,900,495000
Asics,GT-1000 9,Running,California,Los Angeles,Women,6.5,Blue,Mesh,90,700,350000
Fila,T1 Mid,Casual,California,Los Angeles,Men,11,White,Leather,65,700,350000
Skechers,Go Walk 5,Walking,California,Los Angeles,Women,8.5,Black,Mesh,60,625,375000
Nike,Blazer Mid '77,Casual,California,Los Angeles,Men,8.5,Green,Leather,100,725,471250
Nike,Air Force 1,Casual,California,Los Angeles,Men,9.5,White,Leather,90,475,213750
Adidas,NMD_R1,Lifestyle,California,Los Angeles,Women,7,Black/Pink,Knit,140,275,123750
Reebok,Nano X1,Crossfit,California,Los Angeles,Men,10,Black,Mesh,130,275,96250
Converse,Chuck 70,Casual,California,Los Angeles,Women,8.5,Ivory,Canvas,85,125,50000
Puma,Calibrate,Running,Illinois,Chicago,Men,8.5,Grey,Mesh,130,175,96250
Vans,SK8-Hi,Skate,Illinois,Chicago,Men,9.5,Black/White,Canvas,70,275,123750
New Balance,574,Casual,Illinois,Chicago,Women,7,Pink,Suede,80,525,236250
Asics,Gel-Quantum 180 6,Running,Illinois,Chicago,Men,11,Black,Mesh,120,175,78750
Fila,Mindblower,Fashion,Illinois,Chicago,Women,8,White,Leather/Synthetic,65,225,78750
Skechers,Max Cushioning,Running,Illinois,Chicago,Women,7.5,Black,Mesh,90,100,40000
